#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SPG-FY2014.CSV","Start Processing"
"9194.6368","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SPG-FY2014.CSV","End Processing"
"1.998","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SPGI-FY2014.CSV","Start Processing"
"9003.1186","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SPGI-FY2014.CSV","End Processing"
"0.4999","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SRCL-FY2014.CSV","Start Processing"
"9653.0912","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SRCL-FY2014.CSV","End Processing"
"0.5003","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SRE-FY2014.CSV","Start Processing"
"10552.0132","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SRE-FY2014.CSV","End Processing"
"0.9984","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\STI-FY2014.CSV","Start Processing"
"9721.0734","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\STI-FY2014.CSV","End Processing"
"0.4981","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\STT-FY2014.CSV","Start Processing"
"9052.933","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\STT-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\STX-FY2014.CSV","Start Processing"
"8483.1192","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\STX-FY2014.CSV","End Processing"
"0.4993","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\STZ-FY2014.CSV","Start Processing"
"8941.9565","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\STZ-FY2014.CSV","End Processing"
"0.5003","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SWK-FY2014.CSV","Start Processing"
"9560.2532","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SWK-FY2014.CSV","End Processing"
"1.0007","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SWKS-FY2014.CSV","Start Processing"
"9044.2164","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SWKS-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SYF-FY2014.CSV","Start Processing"
"4694.0273","107","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SYF-FY2014.CSV","End Processing"
"8.8134","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SYK-FY2014.CSV","Start Processing"
