#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EQT-FY2014.CSV","Start Processing"
"9583.0288","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EQT-FY2014.CSV","End Processing"
"17.722","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ES-FY2014.CSV","Start Processing"
"9433.0278","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ES-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ESRX-FY2014.CSV","Start Processing"
"8916.5186","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ESRX-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ESS-FY2014.CSV","Start Processing"
"11299.9172","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ESS-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ETFC-FY2014.CSV","Start Processing"
"9199.5133","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ETFC-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ETN-FY2014.CSV","Start Processing"
"9400.0723","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ETN-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ETR-FY2014.CSV","Start Processing"
"9933.1535","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ETR-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EVHC-FY2014.CSV","Start Processing"
"9265.3476","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EVHC-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EW-FY2014.CSV","Start Processing"
"9067.3391","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EW-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EXC-FY2014.CSV","Start Processing"
"8933.4321","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EXC-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EXPD-FY2014.CSV","Start Processing"
"9099.5984","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EXPD-FY2014.CSV","End Processing"
"0.5101","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EXPE-FY2014.CSV","Start Processing"
"8897.8986","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EXPE-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EXR-FY2014.CSV","Start Processing"
"9084.1508","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EXR-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EA-FY2015.CSV","Start Processing"
"9251.6393","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EA-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EBAY-FY2015.CSV","Start Processing"
"10321.33","253","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EBAY-FY2015.CSV","End Processing"
"1.0215","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ECL-FY2015.CSV","Start Processing"
"9777.985","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ECL-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ED-FY2015.CSV","Start Processing"
"9782.0822","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ED-FY2015.CSV","End Processing"
"1.0306","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EFX-FY2015.CSV","Start Processing"
"9851.0554","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EFX-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EIX-FY2015.CSV","Start Processing"
"8966.5265","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EIX-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EL-FY2015.CSV","Start Processing"
"9566.0622","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EL-FY2015.CSV","End Processing"
"16.1521","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EMN-FY2015.CSV","Start Processing"
"10278.9752","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EMN-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EMR-FY2015.CSV","Start Processing"
"9353.0182","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EMR-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EOG-FY2015.CSV","Start Processing"
"8950.0958","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EOG-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EQIX-FY2015.CSV","Start Processing"
"9666.6197","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EQIX-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EQR-FY2015.CSV","Start Processing"
"9032.9196","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EQR-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EQT-FY2015.CSV","Start Processing"
"9733.4201","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\EQT-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ES-FY2015.CSV","Start Processing"
"9049.3922","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ES-FY2015.CSV","End Processing"
"0.5094","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\ESRX-FY2015.CSV","Start Processing"
